                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.7152,                 1.9519,                 2.2165,                0.50257,                0.35714,                0.36809,                0.11426,                      0,                    inf,                      0,              0.0049086,              0.0049086,              0.0049086
                     38,                 1.6401,                  1.894,                 2.1516,                0.50264,                0.38159,                0.35284,                0.11673,                      0,                    inf,                      0,              0.0047671,              0.0047671,              0.0047671
                     39,                 1.6663,                 1.9146,                  2.163,                0.62126,                0.38501,                 0.4137,                 0.1412,                      0,                    inf,                      0,              0.0046257,              0.0046257,              0.0046257
                     40,                 1.6498,                 1.8723,                 2.1598,                0.52056,                0.39886,                0.35257,                0.11982,                      0,                    inf,                      0,              0.0044843,              0.0044843,              0.0044843
                     41,                 1.6787,                  1.881,                 2.1739,                 0.4533,                0.41461,                0.36502,                0.13343,                      0,                    inf,                      0,              0.0043429,              0.0043429,              0.0043429
                     42,                 1.6341,                 1.8537,                 2.1407,                0.47929,                0.35692,                 0.3485,                0.11566,                      0,                    inf,                      0,              0.0042014,              0.0042014,              0.0042014
                     43,                 1.6435,                 1.8359,                 2.1347,                0.39041,                0.37755,                0.37422,                  0.143,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     44,                 1.6146,                 1.8162,                 2.1257,                 0.4007,                0.34694,                0.34664,                0.13102,                      0,                    inf,                      0,              0.0039186,              0.0039186,              0.0039186
                     45,                 1.6239,                 1.8307,                 2.1212,                0.42576,                0.37755,                0.38169,                0.13057,                      0,                    inf,                      0,              0.0037771,              0.0037771,              0.0037771
                     46,                  1.594,                 1.7853,                 2.0903,                 0.4794,                0.40816,                0.37132,                0.14176,                      0,                    inf,                      0,              0.0036357,              0.0036357,              0.0036357
                     47,                 1.6158,                  1.796,                 2.1065,                0.42878,                0.33673,                0.33329,                0.12559,                      0,                    inf,                      0,              0.0034943,              0.0034943,              0.0034943
                     48,                 1.5706,                 1.7842,                 2.0946,                0.41239,                0.43685,                0.38875,                0.14425,                      0,                    inf,                      0,              0.0033529,              0.0033529,              0.0033529
                     49,                 1.5539,                 1.7557,                 2.0822,                0.44338,                0.39796,                0.38779,                0.15988,                      0,                    inf,                      0,              0.0032114,              0.0032114,              0.0032114
                     50,                 1.6317,                 1.8106,                 2.1305,                0.47482,                0.39796,                0.39519,                0.17618,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     51,                 1.5702,                 1.7226,                 2.0563,                0.33732,                0.36735,                0.33548,                0.13424,                      0,                    inf,                      0,              0.0029286,              0.0029286,              0.0029286
                     52,                 1.5633,                 1.6995,                 2.0429,                 0.4613,                0.41837,                0.41454,                0.17126,                      0,                    inf,                      0,              0.0027871,              0.0027871,              0.0027871
                     53,                 1.5958,                 1.7318,                  2.081,                0.47231,                0.37755,                 0.4022,                0.17667,                      0,                    inf,                      0,              0.0026457,              0.0026457,              0.0026457
                     54,                 1.5568,                 1.7397,                 2.0681,                0.48896,                0.35714,                0.42508,                0.19297,                      0,                    inf,                      0,              0.0025043,              0.0025043,              0.0025043
                     55,                 1.5336,                  1.653,                 2.0233,                0.48914,                0.38776,                0.40091,                0.15585,                      0,                    inf,                      0,              0.0023629,              0.0023629,              0.0023629
                     56,                 1.5238,                 1.6483,                 2.0333,                0.44503,                0.43371,                0.41381,                0.16332,                      0,                    inf,                      0,              0.0022214,              0.0022214,              0.0022214
                     57,                 1.4993,                 1.6434,                 2.0046,                0.52065,                0.43878,                0.45469,                0.19447,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     58,                 1.5197,                 1.6372,                  2.021,                0.53181,                0.43878,                0.46139,                0.18951,                      0,                    inf,                      0,              0.0019386,              0.0019386,              0.0019386
                     59,                 1.4956,                 1.6436,                 2.0084,                0.48902,                0.47959,                0.47795,                0.18541,                      0,                    inf,                      0,              0.0017971,              0.0017971,              0.0017971
                     60,                  1.516,                  1.667,                  2.063,                0.41699,                0.43878,                0.44318,                0.18327,                      0,                    inf,                      0,              0.0016557,              0.0016557,              0.0016557
                     61,                 1.5066,                 1.6313,                 2.0485,                0.60886,                0.34694,                0.46934,                0.19145,                      0,                    inf,                      0,              0.0015143,              0.0015143,              0.0015143
                     62,                  1.491,                  1.615,                 2.0469,                0.38632,                0.44898,                0.41243,                0.16758,                      0,                    inf,                      0,              0.0013729,              0.0013729,              0.0013729
                     63,                 1.4524,                 1.5743,                   2.02,                0.61167,                0.41837,                0.48451,                0.19936,                      0,                    inf,                      0,              0.0012314,              0.0012314,              0.0012314
                     64,                 1.4631,                 1.5921,                 2.0267,                0.62375,                0.39796,                0.49306,                0.20637,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     65,                 1.4454,                  1.543,                 1.9925,                0.61199,                0.41837,                 0.4782,                0.19725,                      0,                    inf,                      0,             0.00094857,             0.00094857,             0.00094857
                     66,                 1.4824,                 1.5549,                 2.0217,                0.56057,                0.40816,                0.48457,                0.20497,                      0,                    inf,                      0,             0.00080714,             0.00080714,             0.00080714
                     67,                 1.4242,                 1.5101,                 1.9855,                0.64004,                0.34694,                0.46462,                0.18426,                      0,                    inf,                      0,             0.00066571,             0.00066571,             0.00066571
                     68,                 1.4037,                 1.4805,                  1.976,                0.65199,                0.38776,                0.49047,                0.20314,                      0,                    inf,                      0,             0.00052429,             0.00052429,             0.00052429
                     69,                 1.3915,                 1.4683,                 1.9495,                0.61116,                0.40816,                 0.4859,                0.21111,                      0,                    inf,                      0,             0.00038286,             0.00038286,             0.00038286
